Municipio,Valor_Tasado,Num_Tasaciones,Periodo,Trimestre,Año,Mes,Fecha,Valor_Tasado_Madrid,Valor_Tasado_España,Dif_Madrid,Dif_España,Pct_Madrid,Pct_España
Colmenar Viejo,2464.6,202,T2A2005 ,2,2005,6,2005-06-30,2701.2,1752.8,-236.5999999999999,711.8,-8.759070042943872,40.609310816978535
Coslada,2692.0,338,T2A2005 ,2,2005,6,2005-06-30,2701.2,1752.8,-9.199999999999818,939.2,-0.3405893676884264,53.582838886353265
Fuenlabrada,2310.1,1103,T2A2005 ,2,2005,6,2005-06-30,2701.2,1752.8,-391.0999999999999,557.3,-14.478750185102918,31.794842537654034
Galapagar,2212.0,262,T2A2005 ,2,2005,6,2005-06-30,2701.2,1752.8,-489.1999999999998,459.20000000000005,-18.110469420998065,26.19808306709266
Getafe,2817.2,866,T2A2005 ,2,2005,6,2005-06-30,2701.2,1752.8,116.0,1064.3999999999999,4.294387679549838,60.72569602921041
Leganés,2620.9,717,T2A2005 ,2,2005,6,2005-06-30,2701.2,1752.8,-80.29999999999973,868.1000000000001,-2.9727528505849143,49.52647193062529
Madrid,3504.7,14109,T2A2005 ,2,2005,6,2005-06-30,2701.2,1752.8,803.5,1751.8999999999999,29.74603879757145,99.94865358283889
Majadahonda,3133.5,251,T2A2005 ,2,2005,6,2005-06-30,2701.2,1752.8,432.3000000000002,1380.7,16.003998223011994,78.77110908261069
Móstoles,2313.9,906,T2A2005 ,2,2005,6,2005-06-30,2701.2,1752.8,-387.2999999999997,561.1000000000001,-14.33807196801421,32.0116385212232
Parla,2259.8,664,T2A2005 ,2,2005,6,2005-06-30,2701.2,1752.8,-441.39999999999964,507.0000000000002,-16.340885532355976,28.925148334094033
Pinto,2476.5,272,T2A2005 ,2,2005,6,2005-06-30,2701.2,1752.8,-224.69999999999982,723.7,-8.318525099955565,41.28822455499772
Pozuelo De Alarcón,3266.0,276,T2A2005 ,2,2005,6,2005-06-30,2701.2,1752.8,564.8000000000002,1513.2,20.90922552939436,86.33044272021908
Rivas-Vaciamadrid,2337.6,282,T2A2005 ,2,2005,6,2005-06-30,2701.2,1752.8,-363.5999999999999,584.8,-13.460684140382051,33.36376083979917
Rozas De Madrid (Las),2875.0,410,T2A2005 ,2,2005,6,2005-06-30,2701.2,1752.8,173.80000000000018,1122.2,6.434177402635877,64.02327704244637
San Fernando De Henares,2629.6,215,T2A2005 ,2,2005,6,2005-06-30,2701.2,1752.8,-71.59999999999991,876.8,-2.6506737746186837,50.02282062984938
San Sebastián De Los Reyes,2935.1,329,T2A2005 ,2,2005,6,2005-06-30,2701.2,1752.8,233.9000000000001,1182.3,8.659114467644024,67.4520766773163
Torrejón De Ardoz,2363.7,634,T2A2005 ,2,2005,6,2005-06-30,2701.2,1752.8,-337.5,610.8999999999999,-12.494446912483337,34.852806937471456
Tres Cantos,3076.9,120,T2A2005 ,2,2005,6,2005-06-30,2701.2,1752.8,375.7000000000003,1324.1000000000001,13.908633200059239,75.54198995892287
