Municipio,Valor_Tasado,Num_Tasaciones,Periodo,Trimestre,Año,Mes,Fecha
San Fernando De Henares,2709.5,91,T3A2005 ,3,2005,9,2005-09-30
San Sebastián De Los Reyes,2851.5,168,T3A2005 ,3,2005,9,2005-09-30
Torrejón De Ardoz,2399.7,328,T3A2005 ,3,2005,9,2005-09-30
Tres Cantos,3042.3,67,T3A2005 ,3,2005,9,2005-09-30
Valdemoro,2063.2,331,T3A2005 ,3,2005,9,2005-09-30
Villaviciosa De Odón,2757.1,65,T3A2005 ,3,2005,9,2005-09-30
Alcalá De Henares,2565.3,934,T4A2005  ,4,2005,12,2005-12-31
Alcobendas,3231.2,325,T4A2005  ,4,2005,12,2005-12-31
Alcorcón,2874.4,745,T4A2005  ,4,2005,12,2005-12-31
Aranjuez,2209.3,183,T4A2005  ,4,2005,12,2005-12-31
Arganda Del Rey,2141.9,200,T4A2005  ,4,2005,12,2005-12-31
Boadilla Del Monte,2793.8,180,T4A2005  ,4,2005,12,2005-12-31
Collado Villalba,2623.0,493,T4A2005  ,4,2005,12,2005-12-31
Colmenar Viejo,2510.7,125,T4A2005  ,4,2005,12,2005-12-31
Coslada,2765.2,356,T4A2005  ,4,2005,12,2005-12-31
Fuenlabrada,2360.4,867,T4A2005  ,4,2005,12,2005-12-31
Galapagar,2377.7,195,T4A2005  ,4,2005,12,2005-12-31
Getafe,2688.1,665,T4A2005  ,4,2005,12,2005-12-31
Leganés,2694.2,600,T4A2005  ,4,2005,12,2005-12-31
Madrid,3603.1,10678,T4A2005  ,4,2005,12,2005-12-31
Majadahonda,3290.7,214,T4A2005  ,4,2005,12,2005-12-31
Móstoles,2404.6,746,T4A2005  ,4,2005,12,2005-12-31
Parla,2319.5,585,T4A2005  ,4,2005,12,2005-12-31
Pinto,2684.9,234,T4A2005  ,4,2005,12,2005-12-31
Pozuelo De Alarcón,3245.9,212,T4A2005  ,4,2005,12,2005-12-31
Rivas-Vaciamadrid,2381.2,235,T4A2005  ,4,2005,12,2005-12-31
Las Rozas de Madrid,2997.2,318,T4A2005  ,4,2005,12,2005-12-31
San Fernando De Henares,2948.8,240,T4A2005  ,4,2005,12,2005-12-31
San Sebastián De Los Reyes,2974.6,338,T4A2005  ,4,2005,12,2005-12-31
Torrejón De Ardoz,2477.5,824,T4A2005  ,4,2005,12,2005-12-31
Tres Cantos,3100.5,145,T4A2005  ,4,2005,12,2005-12-31
Valdemoro,2065.7,567,T4A2005  ,4,2005,12,2005-12-31
Villaviciosa De Odón,2603.2,96,T4A2005  ,4,2005,12,2005-12-31
Alcalá De Henares,2556.2,1059,T1A2006 ,1,2006,3,2006-03-31
Alcobendas,3294.5,346,T1A2006 ,1,2006,3,2006-03-31
Alcorcón,2956.0,653,T1A2006 ,1,2006,3,2006-03-31
Aranjuez,2312.3,448,T1A2006 ,1,2006,3,2006-03-31
Arganda Del Rey,2176.9,313,T1A2006 ,1,2006,3,2006-03-31
Boadilla Del Monte,2841.4,180,T1A2006 ,1,2006,3,2006-03-31
Collado Villalba,2650.3,567,T1A2006 ,1,2006,3,2006-03-31
Colmenar Viejo,2643.1,218,T1A2006 ,1,2006,3,2006-03-31
Coslada,2832.9,421,T1A2006 ,1,2006,3,2006-03-31
Fuenlabrada,2399.2,978,T1A2006 ,1,2006,3,2006-03-31
Galapagar,2318.1,238,T1A2006 ,1,2006,3,2006-03-31
