Latitude,Longitude,Price,Rooms,Bathrooms,Surface,Floor,Elevator,Air_Conditioner,Heater,Parking,Balcony,Terrace,Swimming_Pool,log_price,log_surface
40.436665,-3.6937356,2550000,5,5,302,11,1,1,1,0,0,1,0,14.75160391713461,5.71042701737487
40.424343,-3.6764843,740000,3,2,133,9,1,0,1,0,1,0,0,13.514405465180353,4.890349128221754
40.44436,-3.7007754,690000,4,4,115,3,1,1,1,0,0,1,0,13.444446876573442,4.74493212836325
40.437515,-3.7027197,550000,3,2,111,7,1,0,1,0,0,0,0,13.217673557208654,4.709530201312334
40.40415,-3.6621587,225000,2,2,62,6,1,0,1,0,0,0,0,12.323855681186558,4.127134385045092
40.50993,-3.670063,499000,3,2,144,8,1,1,0,0,0,0,0,13.120361374733656,4.969813299576001
40.450825,-3.6618922,353000,1,1,56,11,1,0,0,0,0,0,0,12.774223335915433,4.02535169073515
40.4428,-3.657256,255000,1,1,44,13,1,0,0,0,0,0,0,12.449018824140563,3.784189633918261
40.409195,-3.7080274,320000,0,1,33,11,1,0,0,0,0,0,0,12.676076274775909,3.4965075614664802
40.409195,-3.7080274,270000,0,1,40,11,1,0,0,0,0,0,0,12.506177237980511,3.6888794541139363
40.448597,-3.5700538,498000,4,3,213,0,0,1,1,0,1,1,1,13.11835535600679,5.3612921657094255
40.444843,-3.6702144,365000,3,1,85,3,0,0,1,0,0,1,0,12.80765263256463,4.442651256490317
40.429718,-3.7090561,424000,1,1,66,10,1,1,1,0,0,0,0,12.957488734214095,4.189654742026425
40.419476,-3.7065427,489000,2,2,79,6,0,1,1,0,1,1,0,13.10011776845701,4.3694478524670215
40.407997,-3.7096078,198000,1,1,41,3,0,1,1,0,0,0,0,12.196022309676673,3.713572066704308
40.45799,-3.6484458,255000,1,1,43,6,1,1,1,0,0,0,1,12.449018824140563,3.7612001156935624
40.436153,-3.68015,320000,1,1,52,3,1,1,1,0,1,1,0,12.676076274775909,3.9512437185814275
40.429817,-3.6872492,500000,1,1,40,0,1,1,1,0,0,0,0,13.122363377404328,3.6888794541139363
40.425346,-3.684054,1700000,3,2,128,12,1,1,1,0,0,0,0,14.346138809026444,4.852030263919617
40.41697,-3.6904616,580000,1,1,71,11,1,1,1,0,0,0,0,13.270783382522602,4.2626798770413155
40.367798,-3.6227825,311000,3,2,89,0,1,0,1,0,0,1,0,12.647548191161372,4.48863636973214
40.44557,-3.7025356,235000,1,1,46,6,0,1,1,0,0,0,0,12.367340793126296,3.828641396489095
40.439224,-3.6188083,285000,1,2,94,3,1,1,1,1,1,1,0,12.560244459250788,4.543294782270004
40.42942,-3.6723013,1600000,5,2,228,12,1,1,0,0,0,1,0,14.28551418721001,5.429345628954441
40.404324,-3.6053193,185000,3,1,60,8,1,0,1,0,0,1,0,12.128111104060462,4.0943445622221
40.411316,-3.718794,415000,4,2,112,6,1,0,1,0,0,1,0,12.936033799212835,4.718498871295094
40.369457,-3.6226919,180000,3,1,105,6,1,0,1,0,0,1,0,12.100712129872347,4.653960350157523
40.442146,-3.6451516,850000,4,2,203,9,1,1,1,0,0,1,0,13.652991628466498,5.313205979041787
40.36168,-3.596996,330000,3,2,151,8,1,1,1,1,0,0,0,12.706847933442663,5.017279836814924
40.36683,-3.6243374,311000,3,2,103,3,1,1,1,0,0,1,1,12.647548191161372,4.634728988229636
40.477997,-3.7348614,695000,6,4,256,0,0,1,1,0,0,1,0,13.45166712454693,5.545177444479562
40.427677,-3.6653035,750000,4,3,149,7,1,1,0,0,0,1,0,13.527828485512494,5.003946305945459
40.422966,-3.6799188,1690000,3,3,129,11,1,1,1,1,1,1,0,14.340239086899256,4.859812404361672
40.45074,-3.710629,930000,5,3,231,11,1,1,1,0,0,1,0,13.742939865129438,5.442417710521793
40.350338,-3.6879554,134000,2,1,68,8,0,1,1,0,0,1,0,11.805595078933049,4.219507705176107
40.43244,-3.644926,235000,3,1,79,9,0,1,1,0,0,1,0,12.367340793126296,4.3694478524670215
40.420406,-3.7167141,720000,4,2,143,0,1,0,0,0,0,0,0,13.487006490992238,4.962844630259907
40.36787,-3.612752,174000,1,1,53,13,1,0,0,0,0,0,0,12.066810578196666,3.970291913552122
40.450825,-3.6618922,393000,2,1,59,12,1,0,0,0,0,0,0,12.881564890851399,4.07753744390572
40.441093,-3.6413608,659000,4,3,173,6,0,1,1,0,0,1,0,13.398478813484644,5.153291594497779
40.49401,-3.7139,915000,4,3,173,0,0,0,0,0,0,1,0,13.726679344257658,5.153291594497779
40.401653,-3.6986341,179000,1,1,31,0,1,0,0,0,0,0,0,12.095141084822892,3.4339872044851463
40.424057,-3.6684644,795000,3,2,128,10,1,1,0,0,0,0,0,13.58609739363647,4.852030263919617
40.451897,-3.694043,450000,1,1,64,21,1,0,1,0,0,1,0,13.017002861746503,4.1588830833596715
40.444878,-3.6672373,490000,3,1,82,0,1,0,1,1,0,0,0,13.102160670086809,4.406719247264253
40.4353,-3.700866,639000,3,2,91,9,1,0,1,0,0,0,0,13.367659733359671,4.51085950651685
40.381184,-3.634172,255000,2,2,99,0,1,1,1,1,0,1,0,12.449018824140563,4.59511985013459
40.426453,-3.6575212,305000,3,2,87,7,1,1,0,0,0,0,0,12.628067055589549,4.465908118654584
40.466373,-3.6304617,275000,3,1,74,7,1,1,1,0,0,0,0,12.524526376648708,4.30406509320417
40.426117,-3.7026455,230000,1,1,37,9,0,1,1,0,0,0,0,12.345834587905333,3.6109179126442243
40.43195,-3.68229,4542000,3,3,389,3,0,0,1,1,0,0,0,15.328878001647642,5.963579343618446
40.399998,-3.6647713,145000,0,1,45,3,1,1,1,0,1,1,0,11.884489021402711,3.8066624897703196
40.43645,-3.6401777,180000,3,1,77,7,0,1,1,0,0,1,0,12.100712129872347,4.343805421853684
40.42069,-3.699877,580000,2,2,93,10,0,1,1,0,0,1,0,13.270783382522602,4.532599493153256
40.46722,-3.6541593,585000,4,2,185,9,1,1,1,1,0,1,0,13.279367126213993,5.220355825078324
40.416866,-3.7058287,540000,2,1,80,8,1,0,0,0,0,1,0,13.199324418540456,4.382026634673881
40.416504,-3.6734545,798000,3,2,97,10,1,1,1,0,0,0,0,13.589863876431945,4.574710978503383
40.466038,-3.6628997,1100000,5,5,313,6,1,1,1,0,0,1,1,13.9108207377686,5.746203190540153
40.410263,-3.6658976,580000,4,3,153,0,1,1,1,0,1,0,0,13.270783382522602,5.030437921392435
40.457108,-3.6420534,815000,3,2,141,0,1,1,1,1,0,0,1,13.610943392223,4.948759890378168
40.398552,-3.6940148,455000,3,2,86,10,1,1,1,1,0,1,0,13.028052697933088,4.454347296253507
40.38584,-3.6874442,285000,1,1,74,3,0,0,0,0,0,0,0,12.560244459250788,4.30406509320417
40.387356,-3.7061894,266000,3,2,90,0,0,1,1,0,1,0,0,12.491251587763836,4.499809670330265
40.42316,-3.690919,2300000,3,2,161,8,0,0,0,0,0,0,0,14.648419680899378,5.081404364984463
40.456455,-3.708522,1150000,4,3,489,0,0,1,1,1,0,1,1,13.955272500339433,6.192362489474872
40.386166,-3.7326403,399000,2,1,74,8,1,0,1,1,0,1,0,12.896716695872,4.30406509320417
40.45137,-3.7103171,479000,3,2,116,12,1,0,1,0,0,1,0,13.079455876393052,4.7535901911063645
40.398376,-3.6905317,251000,3,2,113,10,1,1,1,0,0,1,0,12.43320821811392,4.727387818712341
40.41406,-3.6916933,2700000,4,2,322,8,1,0,1,0,0,1,0,14.808762330974558,5.7745515455444085
40.468075,-3.6775894,1150000,4,3,210,0,1,1,1,0,0,0,0,13.955272500339433,5.3471075307174685
40.34336,-3.7088225,93000,3,1,58,8,0,0,1,0,1,0,0,11.440354772135393,4.060443010546419
40.474384,-3.6442733,202000,3,1,90,0,1,0,1,0,0,1,0,12.216022976383341,4.499809670330265
40.42152,-3.7004793,494000,2,1,93,0,1,0,0,0,0,0,0,13.110290796170059,4.532599493153256
40.43745,-3.7008266,847000,2,2,220,11,1,1,1,0,0,1,0,13.649455973634192,5.393627546352362
40.42468,-3.623799,124900,3,1,50,6,0,0,0,0,0,0,0,11.73526869611367,3.912023005428146
40.407505,-3.7009635,595000,3,2,124,7,1,1,1,0,1,0,0,13.296316684527767,4.820281565605037
40.380558,-3.7052891,130000,1,1,46,3,0,1,1,0,0,0,0,11.77528972943772,3.828641396489095
40.432526,-3.6378818,140800,3,1,70,10,0,0,0,0,0,0,0,11.855095722706078,4.248495242049359
40.402287,-3.7021046,139000,2,1,46,3,1,0,0,0,0,0,0,11.842229212112828,3.828641396489095
40.42611,-3.652475,109900,1,1,35,0,1,0,1,0,0,0,0,11.607326140391713,3.5553480614894135
40.42576,-3.7035546,180000,1,1,25,8,0,0,1,0,0,0,0,12.100712129872347,3.2188758248682006
40.35362,-3.689018,139900,3,1,75,8,0,0,0,0,0,1,0,11.848683160653573,4.31748811353631
40.435932,-3.6981473,675000,3,1,132,0,0,0,1,0,1,0,0,13.422467969854667,4.882801922586371
40.420654,-3.703862,955000,3,2,157,7,1,0,0,0,0,0,0,13.769466619462868,5.056245805348308
40.3858,-3.7102735,105000,2,1,50,3,0,0,0,0,0,0,0,11.56171562913966,3.912023005428146
40.34518,-3.7165623,160000,3,1,88,6,0,0,1,0,0,1,0,11.982929094215963,4.477336814478207
40.40119,-3.605404,150000,3,1,65,9,0,1,1,0,0,1,0,11.918390573078392,4.174387269895637
40.4278,-3.7066858,345000,2,1,69,3,0,1,1,0,0,0,0,12.751299696013497,4.23410650459726
40.413445,-3.713431,330000,1,1,41,0,1,0,0,0,0,0,0,12.706847933442663,3.713572066704308
40.462166,-3.6780655,1530000,3,3,164,7,0,0,0,0,0,0,0,14.240778293368619,5.099866427824199
40.401756,-3.6985316,160000,2,1,35,9,0,1,1,0,0,0,0,11.982929094215963,3.5553480614894135
40.38711,-3.719417,140000,2,1,62,6,1,0,1,0,0,0,0,11.84939770159144,4.127134385045092
40.429123,-3.703183,319000,2,1,40,9,1,0,1,0,0,0,0,12.672946381766982,3.6888794541139363
40.343685,-3.6870365,120000,3,1,57,10,1,1,1,0,0,0,0,11.695247021764184,4.04305126783455
40.480534,-3.664915,315000,1,1,70,0,1,0,1,0,0,0,0,12.66032791780777,4.248495242049359
40.480923,-3.700105,219000,3,2,104,10,1,0,1,0,0,1,0,12.296827008798639,4.6443908991413725
40.463123,-3.6556158,1280000,4,2,317,0,0,0,0,0,0,0,1,14.0623706358958,5.75890177387728
40.399998,-3.6647713,183000,0,1,51,0,1,1,1,0,1,1,0,12.117241431823558,3.9318256327243257
40.35586,-3.6912725,237000,3,2,105,0,1,1,1,0,0,1,0,12.375815420117268,4.653960350157523
40.452263,-3.701174,199000,1,1,40,0,0,0,1,0,0,0,0,12.201060103706629,3.6888794541139363
40.4628,-3.6755385,1840000,4,5,165,3,0,1,0,0,0,1,0,14.425276129585168,5.10594547390058
40.436794,-3.6651218,255000,1,1,49,0,0,0,0,0,0,0,0,12.449018824140563,3.8918202981106265
40.454834,-3.6781964,790000,3,3,137,6,0,0,0,0,0,1,0,13.579788224443204,4.919980925828125
40.408936,-3.6987808,310000,4,1,82,0,0,0,1,0,0,0,0,12.644327576461329,4.406719247264253
40.423847,-3.657769,198000,3,1,75,0,1,0,1,0,0,1,0,12.196022309676673,4.31748811353631
40.37235,-3.7384114,201400,2,2,75,0,0,0,0,1,0,0,1,12.213048259266598,4.31748811353631
40.483036,-3.7220855,199000,2,1,76,0,0,0,1,0,0,0,0,12.201060103706629,4.330733340286331
40.421234,-3.6763663,1150000,4,3,174,8,1,0,1,0,0,1,0,13.955272500339433,5.159055299214529
40.4218,-3.6744478,1750000,4,4,222,10,0,0,0,1,0,0,0,14.375126345899696,5.402677381872279
40.43541,-3.6154778,720000,3,3,212,0,1,1,1,1,1,1,1,13.487006490992238,5.356586274672012
40.472248,-3.8181486,3500000,12,10,1200,0,0,1,1,0,0,1,1,15.068273526459642,7.090076835776092
40.39834,-3.54674,393226,3,4,181,0,0,0,0,0,0,0,1,12.882139789178913,5.198497031265826
40.476414,-3.7249575,710000,3,3,161,0,1,1,1,0,0,1,0,13.473020249017498,5.081404364984463
40.422935,-3.6957757,1785000,3,2,187,8,0,1,0,0,0,0,0,14.394928973195876,5.231108616854587
40.44721,-3.64566,329000,1,1,65,8,1,0,0,0,0,0,0,12.70381302974751,4.174387269895637
40.488,-3.707424,1595000,4,5,255,0,0,1,1,0,0,1,1,14.282384294201082,5.541263545158426
40.458263,-3.6828067,3200000,7,7,573,0,0,1,0,0,0,1,0,14.978661367769956,6.35088571671474
40.468235,-3.6885078,520000,4,2,100,6,0,0,0,0,0,0,0,13.16158409055761,4.605170185988092
40.379196,-3.6521113,123800,2,1,51,6,0,0,0,0,0,0,0,11.726422639232633,3.9318256327243257
40.424656,-3.709259,425000,1,1,39,10,0,1,0,0,0,1,0,12.959844447906553,3.6635616461296463
40.443466,-3.6542702,800000,3,2,120,19,1,1,1,0,0,1,0,13.592367006650065,4.787491742782046
40.46023,-3.794714,1100000,4,3,196,6,1,1,1,0,0,1,1,13.9108207377686,5.278114659230517
40.39969,-3.5569994,239000,1,1,64,11,1,1,1,0,0,0,0,12.384218830913648,4.1588830833596715
40.409405,-3.7010777,418000,2,2,80,6,0,1,1,0,0,1,0,12.943236711506893,4.382026634673881
40.438,-3.6556635,345000,4,2,104,0,0,0,1,0,0,1,0,12.751299696013497,4.6443908991413725
40.38462,-3.72737,175000,3,1,84,10,0,1,1,0,1,0,0,12.072541252905651,4.430816798843313
40.467373,-3.635939,360000,3,2,85,8,1,0,1,0,0,0,0,12.793859310432293,4.442651256490317
40.447716,-3.697786,895000,5,3,251,7,1,0,1,0,0,1,0,13.704578997256993,5.5254529391317835
40.431908,-3.7002645,600000,2,1,93,9,1,0,1,0,0,0,0,13.304684934198283,4.532599493153256
40.41615,-3.67772,325000,2,1,44,9,1,1,1,0,0,0,0,12.691580461311874,3.784189633918261
40.39479,-3.665864,175000,3,2,96,10,0,0,0,1,0,0,0,12.072541252905651,4.564348191467836
